video_id,title,channel_name,published_at,publish_year,publish_month,days_since_publish,duration,views,likes,comments,views_per_day,is_viral,language_code,language_name,region_fetched,category_id,fetched_at,publish_day,publish_dow,publish_quarter,publish_week,publish_day_name,publish_month_name,views_normalized,likes_normalized,comments_normalized,views_per_day_normalized,views_standardized,likes_standardized,comments_standardized,views_per_day_standardized,engagement_rate,like_view_ratio,comment_view_ratio,viral_category
RoqpBYGvbe4,មិនទាន់ចេះស្លរតែចង់បានប្ដី | Full Song ai...,POP MUSIC LOVE - Topic,2026-03-29,2026,3,26,PT5M13S,230267,1380,6,32895.29,0,km,km,KH,10,2026-04-05 12:41:53,29,6,1,13,Sunday,Mar,0.0007259067980211441,0.0010955450217402178,0.0002935564362248642,0.1069362057281672,-0.6959997322527641,-0.8521856194224445,-0.8282142637491977,-0.5841278694986112,0.6019,0.5993,0.0026,Growing
73AkgrZ352I,Kaushik Bharwad - Dil Mare Devanu Chhe Danma | Gujarati Mashup | New Gujarati Song 2021,Goga Star Films Media,2021-04-14,2021,4,1836,PT8M58S,20723283,123849,1541,11405.22,0,en,English,search,10,2026-04-05 12:41:53,14,2,2,15,Wednesday,Apr,0.06686800642167537,0.09832040246195958,0.07539507803708596,0.03707615747710408,-0.2861945888901785,-0.3530959545767657,-0.5078228544080713,-0.888471844692662,0.6051,0.5976,0.0074,Growing
RkUDv7yrQos,Shaky - Sanju Rathod #sanjurathod #shaky #marathi #ishamalviya #shorts,Sanju Rathod SR,2025-05-13,2025,5,346,PT27S,29365691,252498,664,89803.34,0,en,English,search,10,2026-04-05 12:41:53,13,1,2,20,Tuesday,May,0.09476175378049588,0.20045139630388514,0.032486912275551644,0.2919332354667354,-0.11336969823289524,0.17117864791636922,-0.6908738420251187,0.2218081817819016,0.8621,0.8598,0.0023,Trending
Anyl2uyr6xA,Jamal Kudu | Viral Song | Live Singing Ankita Bhattacharyya #youtube #viral #trending,Jhilmil Studio,2024-01-19,2024,1,826,PT16S,50415563,1199643,2960,62472.82,0,en-IN,en-IN,search,10,2026-04-05 12:41:53,19,4,1,3,Friday,Jan,0.162701130341231,0.9523644322576087,0.14482117520426635,0.203087017379654,0.30757106581687066,4.031014856346752,-0.21164343430705596,-0.16524868219855599,2.3854,2.3795,0.0059,Trending
RdIGlfq8Qqg,O Mari Vali Re - Kaushik Bharwad | ABCD 2 | લે ફરર ફુદડી | New Garba Song @gujaratisinger7019 ,Gujarati Singer,2025-08-22,2025,8,245,PT3M33S,29203546,112070,1582,129219.23,1,gu,Gujarati,search,10,2026-04-05 12:41:53,22,4,3,34,Friday,Aug,0.0942384237473042,0.08896936999016392,0.07740104701795587,0.42006664672405547,-0.1166121616638771,-0.40109811971420656,-0.499265168555963,0.7800189576617121,0.3892,0.3838,0.0054,Viral
ABUOwTuuW94,"Mehandi Circus | Kodi Aruvi Video Song | Sean Roldan | Ranga, Shweta Tripathi | Saravana Rajendran",Think Music India,2019-04-17,2019,4,2564,PT3M33S,162315883,578029,19706,63778.34,0,en,English,search,10,2026-04-05 12:41:53,17,2,2,16,Wednesday,Apr,0.523864275549276,0.45888173432715673,0.9641371887078625,0.20733100961386858,2.545276178618188,1.497793200879802,3.2836494261662366,-0.14675981052455322,0.3683,0.3561,0.0121,Trending
OKDGEYVzIGI,Defender (Full Video) Harf Cheema - Sudesh Kumari - Sruishty Mann - Latest Punjabi Song - Geet MP3,Geet MP3,2025-01-03,2025,1,476,PT3M32S,96560241,407797,5543,211291.56,1,en-GB,en-GB,search,10,2026-04-05 12:41:53,3,4,1,1,Friday,Jan,0.31163508371234266,0.3237391110366635,0.2711972209990704,0.6868678685849976,1.2303403830911241,0.804058199973372,0.3274907743757647,1.9423334203711382,0.4281,0.4223,0.0057,Viral
YbvHC93cLgQ,"Serik Ibragimov - Juregimniñ áni | #2 EP ALBUM ""Sen ketkeli""",Serik Ibragimov,2026-03-24,2026,3,31,PT3M26S,166628,1373,91,15148.0,0,kk,kk,KZ,1,2026-04-05 12:41:53,24,1,1,13,Tuesday,Mar,0.0005205091602137207,0.0010899879093111008,0.004452272616077108,0.049243209115051936,-0.6972723409072663,-0.8522141460508478,-0.8104727199094611,-0.8354663150002605,0.8786,0.824,0.0546,Growing
ST-Oi0oqt6A,Nanhe Nanhe Ghungroo (Official Video) Uttar Kumar | Divyanka | Haryanvi Songs Haryanavi 2024,Tammo Music,2024-01-07,2024,1,838,PT2M12S,61364075,195468,2638,74925.61,0,en,English,search,10,2026-04-05 12:41:53,7,6,1,1,Sunday,Jan,0.19803792856725952,0.1551768074706644,0.129066979793532,0.24356862168621776,0.5265118273800778,-0.061231868917679094,-0.27885257685288184,0.011108659162208583,0.3228,0.3185,0.0043,Trending
Q7j2riFSqnw,AFROBEATS 2026 PARTY VIDEO MIX | NAIJA 2026 PARTY VIDEO MIX | AMAPIANO | AFROPIANO | AFROBEAT |NAIJA,DJ BOAT,2025-10-25,2025,10,181,PT1H1M55S,1795305,6930,152,11150.96,0,en,English,search,10,2026-04-05 12:41:53,25,5,4,43,Saturday,Oct,0.005777134948665469,0.005501541304825876,0.007436763051029895,0.03624960754644702,-0.6647031860558601,-0.8295680783312825,-0.7977405531538854,-0.892072693788679,0.3945,0.386,0.0085,Growing
27_zaWWkMBE,Best Slow Turkish Music 2025 Top 10 Relaxing Turkish Song,Carlos Music,2025-01-23,2025,1,456,PT41M50S,3779237,18944,721,8648.14,0,en,English,search,10,2026-04-05 12:41:53,23,3,1,4,Thursday,Jan,0.012180361686523655,0.015039133979599047,0.035275698419687855,0.02811342530210227,-0.6250298877145315,-0.7806082335260176,-0.6789765714502365,-0.9275178174199735,0.5203,0.5013,0.0191,Normal
68lN2pTjiXc,Khalid - Young Dumb & Broke (Lyrics),DopeMusic,2026-03-21,2026,3,34,PT3M25S,730255,1528,19,52161.07,0,en,English,PH,10,2026-04-05 12:41:53,21,5,1,12,Saturday,Mar,0.0023396397940150786,0.0012130382559558354,0.0009295953813787368,0.16956551872688552,-0.6860013184507365,-0.8515824849933469,-0.8255008511619439,-0.31128445528851123,0.2118,0.2092,0.0026,Trending
F7tngebCPHw,That thank you 😭 #blackpink#rosé#brunomars#shorts,Jixoo Bear,2024-11-22,2024,11,518,PT17S,7936645,379827,1121,15937.04,0,en,English,search,10,2026-04-05 12:41:53,22,4,4,47,Friday,Nov,0.025598576658501286,0.30153447751632007,0.054846127501345474,0.0518082250722833,-0.5418929213716193,0.6900739433391737,-0.5954869533808876,-0.8242918716323647,4.7999,4.7857,0.0141,Growing
sNKD014uRj0,"Ninnila Full Video Song | Tholi Prema Video Songs | Varun Tej, Raashi Khanna | SS Thaman",Aditya Music,2018-04-18,2018,4,2928,PT4M21S,59849782,245787,6859,20574.01,0,en,English,search,10,2026-04-05 12:41:53,18,2,2,16,Wednesday,Apr,0.19315048210913924,0.1951237132307702,0.33558393267772396,0.06688211491716198,0.49623004455426245,0.14382976174289389,0.6021716178239226,-0.7586227564244777,0.4221,0.4107,0.0115,Growing
50dZ2xoiN2k,"Kalalo Kooda Music Video | Liger (Telugu) | Vijay Deverakonda, Ananya Panday | Tanishk Bagchi",Sony Music South,2022-08-30,2022,8,1333,PT3M15S,45965198,241274,2299,34981.12,0,en-GB,en-GB,search,10,2026-04-05 12:41:53,30,1,3,35,Tuesday,Aug,0.14833738392188384,0.19154096346039803,0.11248104114682715,0.11371683438333283,0.2185757482491279,0.1254382368880445,-0.34961002816665504,-0.5545881893682529,0.5299,0.5249,0.005,Growing
VSAx72oNyqM,W.I.N. (Prod. by GRAY),OSUN - Topic,2026-03-27,2026,3,28,PT5M7S,796073,7472,0,88452.56,0,en,English,KR,10,2026-04-05 12:41:53,27,4,1,13,Friday,Mar,0.0025520702490066556,0.005931820581480367,0.0,0.28754211175347755,-0.684685135663106,-0.8273593022463438,-0.829466608020238,0.20267833461003942,0.9386,0.9386,0.0,Trending
lnQ3N52PmRs,I feel bad for Rosé 🥺😢 #rosé #blackpink,Blackpink-edits,2024-08-03,2024,8,629,PT14S,15191667,381736,5447,24904.37,0,en,English,search,10,2026-04-05 12:41:53,3,5,3,31,Saturday,Aug,0.049014475416195274,0.30304998146306067,0.2665003180194726,0.0809592751378813,-0.39681201523224413,0.6978535624280077,0.30745326603912093,-0.6972958749196101,2.5487,2.5128,0.0359,Growing
ae4q8Gf5JJo,🇮🇳 Shake it to the max – Hindi ver. #Shorts,Cha Dabin,2025-07-16,2025,7,282,PT15S,62548372,563284,17074,238734.24,1,en,English,search,10,2026-04-05 12:41:53,16,2,3,29,Wednesday,Jul,0.20186029859605345,0.4471760739318238,0.8353637653505553,0.7760786970717584,0.5501945787071094,1.437703895764634,2.734287739269921,2.330978702642358,0.9279,0.9006,0.0273,Viral
Db5uj_kaVQI,"6uff, ODUMODUBLVCK - 10 Minutes (Visualizer)",6UFF,2026-03-12,2026,3,43,PT2M34S,5662121,60271,2572,246179.17,1,en,English,NG,22,2026-04-05 12:41:53,12,3,1,11,Thursday,Mar,0.01825745161353999,0.04784753188790193,0.12583785899505848,0.800280720100338,-0.5873772773054478,-0.612191094665756,-0.2926283638343244,2.4364143569348506,1.1099,1.0645,0.0454,Viral
gqRW9EsHDxI,Shakeeni: Gurnam Bhullar | Kaptaan | Desi Crew | Diamondstar Worldwide | New Punjabi Song 2024,Diamondstar Worldwide,2024-11-08,2024,11,532,PT3M55S,8058313,44701,1022,15708.21,0,en,English,search,10,2026-04-05 12:41:53,8,4,4,45,Friday,Nov,0.02599126541534463,0.0354869260991373,0.05000244630363521,0.05106434313791589,-0.5394598889579112,-0.6756424666998808,-0.6161506338530515,-0.8275325791704814,0.5674,0.5547,0.0127,Growing
Tb-zjsEqr1k,Tuğba Yurt - İnceden İnceden,netd müzik,2017-09-20,2017,9,3138,PT3M12S,199324586,397351,13216,63906.57,0,tr,Turkish,search,10,2026-04-05 12:41:53,20,2,3,38,Wednesday,Sep,0.6433114726220851,0.3154463115460125,0.6466069768579676,0.20774786046578456,3.2853505941448415,0.7614883199304391,1.9290303729910505,-0.14494380769444917,0.206,0.1993,0.0066,Trending
